"","x"
"1","blackwhitegap"
"2","hispwhitegap"
"3","asianwhitegap"
"4","total_prison_pop_rate"
"5","female_prison_pop_rate"
"6","male_prison_pop_rate"
"7","aapi_prison_pop_rate"
"8","black_prison_pop_rate"
"9","latinx_prison_pop_rate"
"10","native_prison_pop_rate"
"11","white_prison_pop_rate"
"12","total_prison_adm_rate"
"13","female_prison_adm_rate"
"14","male_prison_adm_rate"
"15","aapi_prison_adm_rate"
"16","black_prison_adm_rate"
"17","latinx_prison_adm_rate"
"18","native_prison_adm_rate"
"19","white_prison_adm_rate"
"20","avg_tthm_levels"
"21","avg_TCE_levels"
"22","avg_PCE_levels"
"23","avg_nitrate_levels"
"24","avg_dehp_levels"
"25","avg_atrazine_levels"
"26","avg_arsenic_levels"
"27","occ_other_services"
"28","seg_index"
"29","BWD"
"30","AWD"
"31","HWD"
"32","NWWD"
"33","BWI"
"34","AWI"
"35","HWI"
"36","NWWI"
"37","H"
"38","ACIFLUORFEN"
"39","ALACHLOR"
"40","ALPHA CYPERMETHRIN"
"41","BENSULIDE"
"42","BROMOXYNIL"
"43","CHLORIMURON"
"44","CLOMAZONE"
"45","CLORANSULAM-METHYL"
"46","CYAZOFAMID"
"47","CYMOXANIL"
"48","CYPROCONAZOLE"
"49","DIMETHENAMID"
"50","DIQUAT"
"51","ENDOSULFAN"
"52","FAMOXADONE"
"53","FLUAZIFOP"
"54","FLUAZINAM"
"55","FLUMETSULAM"
"56","FLUMICLORAC"
"57","FLUOPICOLIDE"
"58","FLUTHIACET-METHYL"
"59","IMAZAMOX"
"60","IMAZAQUIN"
"61","ISOXAFLUTOLE"
"62","LACTOFEN"
"63","LINURON"
"64","METHOMYL"
"65","MYCLOBUTANIL"
"66","OXAMYL"
"67","PENFLUFEN"
"68","PHOSPHORIC ACID"
"69","PRIMISULFURON"
"70","PROPAMOCARB HCL"
"71","PROSULFURON"
"72","QUINOXYFEN"
"73","QUIZALOFOP"
"74","SPINOSYN"
"75","TEFLUTHRIN"
"76","TERBACIL"
"77","TERBUFOS"
"78","THIENCARBAZONE-METHYL"
"79","ACEPHATE"
"80","ACETAMIPRID"
"81","AMETOCTRADIN"
"82","BACILLUS SUBTILIS"
"83","BACILLUS THURINGIENSIS"
"84","BICYCLOPYRONE"
"85","BIFENAZATE"
